result_type,checkpoint,split,regime,strategy,transaction_cost_pct,samples,RMSE,MAE,MAPE_pct,ROI_pct,max_drawdown_pct
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,vanilla,0.0,92,578.1265623729497,410.72393002717394,1.5751750199656367,41.62293113290008,8.931352268787727
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,vanilla,0.0,63,433.2475998440175,317.3004867311508,1.4997666446824063,-18.911391356332295,22.20606254414246
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,vanilla,0.0,195,652.7403923932588,419.23097455929485,1.7983354993228655,8.48096662955422,12.880984463514169
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,vanilla,0.1,92,578.1265623729497,410.72393002717394,1.5751750199656367,39.39359040955033,8.931355930488964
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,vanilla,0.1,63,433.2475998440175,317.3004867311508,1.4997666446824063,-19.63971809886128,22.90802832250144
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,vanilla,0.1,195,652.7403923932588,419.23097455929485,1.7983354993228655,6.648633864254805,13.664323548742608
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,vanilla,0.2,92,578.1265623729497,410.72393002717394,1.5751750199656367,37.195602010673156,8.931367285763155
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,vanilla,0.2,63,433.2475998440175,317.3004867311508,1.4997666446824063,-20.36287571838269,23.604983189550964
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,vanilla,0.2,195,652.7403923932588,419.23097455929485,1.7983354993228655,4.843136928538283,14.454478468243199
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,smart,0.0,92,578.1265623729497,410.72393002717394,1.5751750199656367,51.982219481711844,6.577703596940824
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,smart,0.0,63,433.2475998440175,317.3004867311508,1.4997666446824063,-28.297476132930132,30.385649867347276
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,smart,0.0,195,652.7403923932588,419.23097455929485,1.7983354993228655,16.48116607082151,11.480702212788595
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,smart,0.1,92,578.1265623729497,410.72393002717394,1.5751750199656367,49.35072697248053,6.741313145035101
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,smart,0.1,63,433.2475998440175,317.3004867311508,1.4997666446824063,-29.14135798573987,31.199756455722717
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,smart,0.1,195,652.7403923932588,419.23097455929485,1.7983354993228655,12.857730865032746,12.004536907678794
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,smart,0.2,92,578.1265623729497,410.72393002717394,1.5751750199656367,46.76386504236507,6.904514460042972
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,smart,0.2,63,433.2475998440175,317.3004867311508,1.4997666446824063,-29.97545035716277,32.00447508110069
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,smart,0.2,195,652.7403923932588,419.23097455929485,1.7983354993228655,9.346687175728885,12.868892341142388
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,smart_w_short,0.0,92,578.1265623729497,410.72393002717394,1.5751750199656367,46.602936524275606,6.577703596940754
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,smart_w_short,0.0,63,433.2475998440175,317.3004867311508,1.4997666446824063,-26.630669940966968,28.767385633500865
