result_type,checkpoint,split,strategy,transaction_cost_pct,date,cash,position_btc,portfolio_value,drawdown_pct,action,trade_value,transaction_cost
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-27,0.0,0.0037081094978662077,126.65659248637071,-1.0033147199696777,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-28,0.0,0.0037081094978662077,125.74125434770407,-1.7187566867835347,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-29,0.0,0.0037081094978662077,126.40785945395916,-1.1977281748480217,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-30,0.0,0.0037081094978662077,128.07246746803838,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-31,0.0,0.0037081094978662077,127.9385264972307,-0.10458217402667899,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-01,0.0,0.0037081094978662077,128.55192892307304,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-02,0.0,0.0037081094978662077,131.40520330325927,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-03,0.0,0.0037081094978662077,129.55481320941584,-1.4081558776428864,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-04,0.0,0.0037081094978662077,128.79124683371265,-1.9892336101136623,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-05,0.0,0.0037081094978662077,130.08863612908132,-1.0019140346669153,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-06,0.0,0.0037081094978662077,129.9668623925635,-1.0945844415128132,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-07,0.0,0.0037081094978662077,129.92240853299728,-1.1284140452490068,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-08,0.0,0.0037081094978662077,131.42859625966182,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-09,0.0,0.0037081094978662077,132.2136870522159,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-10,0.0,0.0037081094978662077,136.06213980369472,0.0,HOLD,0.0,0.0
