result_type,model,checkpoint,split,strategy,transaction_cost_pct,initial_balance,final_balance,ROI_pct,max_drawdown_pct,Sharpe,number_of_trades,win_rate_pct,risk_pct,protocol,status
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,smart_w_short,0.2,100.0,111.58365166165581,11.583651661655807,23.473165489426144,0.5083208141704574,348,46.55172413793103,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,buy_hold,0.0,100.0,222.5055594483463,122.50555944834632,26.182038353390304,1.8637850302983445,1,100.0,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,buy_hold,0.1,100.0,222.4055594483463,122.4055594483463,26.19170313070181,1.864188617060325,1,100.0,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,buy_hold,0.2,100.0,222.30555944834632,122.30555944834632,26.20137504591546,1.8645927030006393,1,100.0,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,vanilla,0.0,100.0,174.93686942258321,74.93686942258321,23.939578321419813,2.0766929357518196,48,58.333333333333336,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,vanilla,0.1,100.0,166.80900701427018,66.80900701427018,25.095013450513676,1.921369441421296,52,59.61538461538461,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,vanilla,0.2,100.0,159.04370664974934,59.04370664974934,26.23513385669552,1.7634209185001037,52,59.61538461538461,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,smart,0.0,100.0,165.25124558579944,65.25124558579944,10.200339391032589,2.460419828825862,343,56.85131195335277,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,smart,0.1,100.0,153.69179147300017,53.69179147300016,11.500613997101382,2.1279370299639306,343,56.85131195335277,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,smart,0.2,100.0,142.93215708118205,42.932157081182055,13.27933124585151,1.7923774907409609,343,56.85131195335277,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,smart_w_short,0.0,100.0,204.2604969420284,104.2604969420284,11.740435242936025,3.068044095978715,333,56.45645645645646,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,smart_w_short,0.1,100.0,188.43438566486827,88.43438566486827,12.303401284690185,2.738053101782608,333,56.45645645645646,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,test,smart_w_short,0.2,100.0,173.63815062140196,73.63815062140196,13.30518418846699,2.4000266449682264,333,56.45645645645646,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
retrained_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_retrained_best.ckpt,val,buy_hold,0.0,100.0,136.93381174291966,36.93381174291966,25.82102789119348,0.9313824319091198,1,0.0,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
