model_id,split,strategy,transaction_cost_pct,borrow_cost_bps_per_day,initial_equity,final_equity,ROI_pct,max_drawdown_pct,Sharpe,turnover_notional,number_of_trades,total_fees,total_borrow_cost,reconciliation_error
s5_full,val,buy_hold,0,0,100,157.591383148,57.5913831476,20.0577907136,1.48763427511,100,1,0,0,0
s5_full,val,buy_hold,0.1,0,100,157.433949198,57.4339491984,20.0577907136,1.48472530252,99.9000999001,1,0.0999000999001,0,0
s5_full,val,buy_hold,0.2,0,100,157.276829489,57.2768294886,20.0577907136,1.48181333609,99.8003992016,1,0.199600798403,0,0
s5_full,val,vanilla,0,0,100,100,0,-0,0,0,0,0,0,0
s5_full,val,vanilla,0.1,0,100,100,0,-0,0,0,0,0,0,0
s5_full,val,vanilla,0.2,0,100,100,0,-0,0,0,0,0,0,0
s5_full,val,smart,0,0,100,101.748007589,1.74800758878,0.797600771194,1.0870449827,138.219576623,147,0,0,0
s5_full,val,smart,0.1,0,100,101.609873618,1.60987361774,0.802485097374,1.00317219967,138.125753486,147,0.138125753486,0,0
s5_full,val,smart,0.2,0,100,101.471926887,1.47192688687,0.80736973178,0.919121759688,138.032015844,147,0.276064031688,0,0
s5_full,val,smart_w_short,0,0,100,97.9748552299,-2.02514477008,3.52419784045,-0.63554312803,479.800366797,304,0,0,0
s5_full,val,smart_w_short,0.1,0,100,97.5003086315,-2.49969136845,3.93510620848,-0.790946484425,478.641085,304,0.478641085,0,0
s5_full,val,smart_w_short,0.2,0,100,97.0280582253,-2.97194177472,4.34427551091,-0.946241322608,477.485551924,304,0.954971103849,0,0
